TYPE: TOPSTPTW
NODES: 100
TOURS: 3
T_MAX: 4900
ID X Y PROFIT BETA windowStart windowEnd
1 1380 939 0 0 0 4900
2 2848 96 74 0.001400 969 3063
3 3510 1671 61 0.000725 326 619
4 457 334 81 0.002975 1364 4556
5 3888 666 64 0.003650 2321 4210
6 984 965 69 0.002525 234 2357
7 2721 1482 73 0.001175 1127 4067
8 1286 525 21 0.002975 2047 3521
9 2716 1432 18 0.002300 1410 3464
10 738 1325 93 0.001175 2360 2881
11 1251 1832 33 0.001175 1438 4567
12 2728 1698 26 0.001850 801 3547
13 3815 169 34 0.001400 1640 3980
14 3683 1533 96 0.004100 1687 3021
15 1247 1945 52 0.003200 1099 1344
16 123 862 95 0.001625 421 3354
17 1234 1946 40 0.000500 860 3621
18 252 1240 62 0.003200 1710 4776
19 611 673 34 0.001400 2006 4889
20 2576 1676 32 0.003200 1018 2006
21 928 1700 28 0.002300 1393 1997
22 53 857 20 0.002750 1163 2505
23 1807 1711 18 0.004550 323 2475
24 274 1420 84 0.003650 1843 2870
25 2574 946 20 0.000500 920 2041
26 178 24 32 0.000950 2052 2858
27 2678 1825 13 0.001175 2055 4584
28 1795 962 67 0.004325 2376 4424
29 3384 1498 32 0.000950 604 2137
30 3520 1079 19 0.004775 2234 2684
31 1256 61 67 0.004325 174 2225
32 1424 1728 12 0.003200 1602 2168
33 3913 192 65 0.001625 1525 2374
34 3085 1528 33 0.003425 257 2989
35 2573 1969 52 0.000950 392 2558
36 463 1670 73 0.003425 2105 2462
37 3875 598 73 0.003425 51 3188
38 298 1513 21 0.002975 179 2831
39 3479 821 80 0.000500 1831 2726
40 2542 236 88 0.004550 1312 3766
41 3955 1743 38 0.004550 811 2609
42 1323 280 83 0.001175 2078 4504
43 3447 1830 67 0.004325 1295 2562
44 2936 337 43 0.003425 1371 1390
45 1621 1830 41 0.002975 818 1266
46 3373 1646 79 0.004775 165 3156
47 1393 1368 71 0.000725 599 1325
48 3874 1318 72 0.003200 77 1248
49 938 955 13 0.003425 227 1053
50 3022 474 86 0.004100 590 2557
51 2482 1183 75 0.001625 1433 4160
52 3854 923 17 0.004325 2250 4879
53 376 825 41 0.000725 657 3113
54 2519 135 54 0.003650 1312 4175
55 2945 1622 77 0.002075 843 3837
56 953 268 61 0.000725 1479 1600
57 2628 1479 67 0.002075 933 3660
58 2097 981 28 0.004550 873 3153
59 890 1846 46 0.004100 1424 2016
60 2139 1806 85 0.001625 2243 4793
61 2421 1007 18 0.002300 1216 1773
62 2290 1810 60 0.000500 2188 2454
63 1115 1052 17 0.002075 2410 2424
64 2588 302 20 0.002750 1527 2954
65 327 265 62 0.003200 1642 2729
66 241 341 52 0.000950 1014 3731
67 1917 687 94 0.001400 1852 3422
68 2991 792 13 0.001175 462 3514
69 2573 599 32 0.003200 1147 3716
70 19 674 73 0.003425 752 1812
71 3911 1673 14 0.001400 1907 2640
72 872 1559 11 0.002975 1260 2675
73 2863 558 11 0.000725 258 1751
74 929 1766 95 0.003875 249 2147
75 839 620 29 0.004775 2060 2877
76 3893 102 45 0.003875 1587 3511
77 2178 1619 27 0.004325 1379 2587
78 3822 899 51 0.000725 1618 4499
79 378 1048 86 0.001850 2205 3848
80 1178 100 28 0.004550 526 2380
81 2599 901 90 0.000500 540 1577
82 3416 143 59 0.004775 115 2215
83 2961 1605 76 0.001850 38 942
84 611 1384 25 0.003875 2278 2807
85 3113 885 48 0.004550 1944 3957
86 2597 1830 27 0.002075 697 3249
87 2586 1286 12 0.003200 570 1552
88 161 906 87 0.002075 1547 2563
89 1429 134 43 0.001175 2006 4898
90 742 1025 67 0.002075 929 1882
91 1625 1651 46 0.004100 755 3937
92 1187 706 13 0.003425 1774 4828
93 1787 1009 16 0.004100 320 2488
94 22 987 29 0.002525 2416 2560
95 3640 43 93 0.001175 1233 3328
96 3756 882 58 0.004550 1037 3988
97 776 392 98 0.002300 555 1550
98 1724 1642 46 0.001850 1353 1818
99 198 1810 38 0.002300 746 3449
100 3950 1558 28 0.002300 1384 2458
