TYPE: TOPSTPTW
NODES: 75
TOURS: 4
T_MAX: 3620
ID X Y PROFIT BETA windowStart windowEnd
1 1357 1905 0 0 0 3620
2 2650 802 42 0.003200 1077 2339
3 1774 107 91 0.000725 445 994
4 1307 964 31 0.002975 1313 3497
5 3806 746 62 0.003200 627 768
6 2687 1353 90 0.000500 728 1302
7 43 1957 30 0.000500 885 1998
8 3092 1668 90 0.000500 340 875
9 185 1542 27 0.002075 574 1052
10 834 629 33 0.001175 449 1753
11 40 462 62 0.000950 934 2216
12 1183 1391 64 0.003650 170 1731
13 2048 1628 86 0.004100 481 2421
14 1097 643 40 0.000500 1167 1429
15 1838 1732 70 0.002750 1643 3265
16 234 1118 12 0.003200 964 2005
17 3314 1881 75 0.003875 1511 1833
18 737 1285 52 0.000950 1669 2166
19 779 777 36 0.004100 1609 3463
20 2312 1949 41 0.000725 1377 2082
21 2576 189 75 0.001625 376 1233
22 3078 1541 39 0.004775 985 2495
23 2781 478 29 0.004775 353 1726
24 705 1812 97 0.004325 1554 3156
25 3409 1917 26 0.001850 1723 3123
26 323 1714 67 0.004325 576 2649
27 1660 1556 76 0.004100 174 412
28 3729 1188 67 0.004325 767 1143
29 693 1383 16 0.004100 1470 2294
30 2361 640 41 0.000725 256 1955
31 2433 1538 21 0.002975 1409 1938
32 554 1825 49 0.004775 121 1075
33 913 317 70 0.002750 731 1455
34 3586 1909 15 0.003875 653 779
35 2636 727 43 0.001175 609 1737
36 1000 457 27 0.004325 616 647
37 482 1337 29 0.004775 1515 2156
38 3704 1082 26 0.001850 449 1827
39 3635 1174 49 0.002525 1781 2788
40 1362 1526 18 0.002300 1789 3613
41 2049 417 46 0.001850 1507 2246
42 2552 1909 61 0.000725 1790 2819
43 3939 640 89 0.004775 293 2153
44 219 898 47 0.004325 69 336
45 812 351 93 0.001175 901 1992
46 901 1552 33 0.003425 978 2006
47 2513 1572 45 0.001625 1272 2802
48 242 584 26 0.001850 625 1637
49 826 1226 82 0.003200 1695 1730
50 3278 799 37 0.004325 369 2577
51 86 1065 81 0.002975 1526 1840
52 14 454 28 0.002300 716 1751
53 1327 1893 80 0.000500 291 2139
54 2773 1286 19 0.004775 1733 1750
55 2469 1838 87 0.002075 1617 1748
56 3835 963 38 0.004550 766 1962
57 1031 428 29 0.004775 1690 1773
58 3853 1712 85 0.001625 1264 2488
59 1868 197 95 0.001625 761 1713
60 1544 863 77 0.002075 800 3127
61 457 1607 94 0.001400 679 2913
62 3174 1064 18 0.004550 1300 1797
63 192 1004 36 0.004100 1675 2579
64 2318 1925 23 0.001175 213 465
65 2232 1374 16 0.001850 295 2379
66 396 828 64 0.001400 1806 3344
67 2365 1649 64 0.003650 526 2667
68 2499 658 17 0.004325 1337 2544
69 1410 307 17 0.004325 824 2770
70 2990 214 64 0.001400 386 2673
71 3646 1018 84 0.001400 807 1951
72 3394 1028 22 0.000950 1554 2490
73 1779 90 79 0.002525 1336 1789
74 1058 372 90 0.002750 794 1445
75 2933 1459 82 0.003200 254 1896
