TYPE: TOPSTPTW
NODES: 150
TOURS: 4
T_MAX: 3695
ID X Y PROFIT BETA windowStart windowEnd
1 3140 1401 0 0 0 3695
2 556 1056 92 0.003200 338 1000
3 3675 1522 77 0.004325 1187 3003
4 1182 1853 75 0.003875 1152 1509
5 3595 111 26 0.001850 1139 3028
6 962 1895 77 0.004325 1524 2649
7 2030 1186 76 0.004100 506 1623
8 3507 1851 58 0.004550 492 2662
9 2642 1269 51 0.002975 862 2317
10 3438 901 29 0.004775 1296 2201
11 3858 1472 30 0.002750 167 1231
12 2937 1568 15 0.001625 1781 2768
13 376 1018 54 0.003650 785 1542
14 839 1355 44 0.003650 1182 1565
15 706 1925 31 0.002975 1760 3066
16 749 920 59 0.002525 778 2575
17 298 615 23 0.003425 497 1711
18 694 552 86 0.001850 1751 1893
19 387 190 47 0.004325 904 1243
20 2801 695 86 0.004100 1800 2374
21 3133 1143 56 0.004100 733 1461
22 1517 266 83 0.001175 621 2396
23 1538 224 62 0.000950 1054 1785
24 844 520 24 0.001400 1055 1721
25 2639 1239 18 0.004550 1748 2975
26 3123 217 20 0.000500 208 448
27 2489 1520 59 0.002525 1247 3293
28 3834 1827 91 0.000725 1549 1786
29 3417 1808 15 0.001625 1667 3620
30 2938 543 71 0.000725 317 607
31 71 1323 54 0.003650 198 217
32 3245 1828 43 0.003425 1328 1836
33 731 1741 52 0.003200 1673 2664
34 2312 1270 82 0.000950 1444 1806
35 2426 1851 57 0.004325 1759 1906
36 380 478 58 0.004550 547 656
37 2310 635 75 0.001625 1792 2718
38 2830 775 15 0.001625 1302 3406
39 3829 513 32 0.000950 42 2269
40 3684 445 89 0.002525 1230 3360
41 171 514 65 0.001625 57 2099
42 627 1261 98 0.002300 1243 2046
43 1490 1123 13 0.003425 1491 2617
44 61 81 62 0.000950 567 2766
45 422 542 74 0.001400 1455 1462
46 2698 1221 59 0.004775 1117 3180
47 2372 127 79 0.004775 352 1233
48 177 1390 47 0.002075 101 381
49 3084 748 62 0.003200 912 1361
50 1213 910 63 0.001175 432 2708
51 3 1817 30 0.000500 1614 2973
52 1782 995 87 0.004325 1800 1867
53 3896 742 58 0.004550 1488 2769
54 1829 812 41 0.000725 1321 2457
55 1286 550 46 0.004100 687 945
56 3017 108 75 0.001625 1579 1654
57 2132 1432 64 0.001400 294 640
58 2000 1110 60 0.002750 66 1700
59 3317 1966 73 0.001175 322 2356
60 1729 1498 87 0.002075 1382 1459
61 2408 1747 25 0.003875 197 2617
62 3292 152 34 0.001400 1140 1384
63 193 1210 63 0.001175 1271 3358
64 782 1462 94 0.001400 1444 2933
65 2503 352 75 0.003875 717 929
66 1697 1924 31 0.000725 1030 1452
67 3821 147 18 0.002300 1464 3376
68 3370 791 31 0.000725 1798 3169
69 3162 367 29 0.002525 396 1362
70 3938 516 54 0.003650 643 1706
71 2741 1583 14 0.001400 813 1669
