TYPE: TOPSTPTW
NODES: 15
TOURS: 1
T_MAX: 7500
ID X Y PROFIT BETA windowStart windowEnd
1 1380 939 0 0 0 7500
2 2848 96 74 0.001400 200 2328
3 3510 1671 61 0.000725 1073 3231
4 457 334 81 0.002975 1977 4392
5 3888 666 64 0.003650 1396 2113
6 984 965 69 0.002525 2697 3273
7 2721 1482 73 0.001175 3642 6619
8 1286 525 21 0.002975 2301 3116
9 2716 1432 18 0.002300 1233 2395
10 738 1325 93 0.001175 2713 5118
11 1251 1832 33 0.001175 3570 3753
12 2728 1698 26 0.001850 3086 4266
13 3815 169 34 0.001400 2260 6025
14 3683 1533 96 0.004100 2179 2953
15 1247 1945 52 0.003200 1383 3738
