TYPE: TOPSTPTW
NODES: 15
TOURS: 3
T_MAX: 5000
ID X Y PROFIT BETA windowStart windowEnd
1 3140 1401 0 0 0 5000
2 556 1056 92 0.003200 1271 3614
3 3675 1522 77 0.004325 1711 2911
4 1182 1853 75 0.003875 1985 4469
5 3595 111 26 0.001850 2065 3416
6 962 1895 77 0.004325 913 1944
7 2030 1186 76 0.004100 792 3065
8 3507 1851 58 0.004550 61 3360
9 2642 1269 51 0.002975 1868 2664
10 3438 901 29 0.004775 1038 3623
11 3858 1472 30 0.002750 488 1604
12 2937 1568 15 0.001625 204 1432
13 376 1018 54 0.003650 2385 3691
14 839 1355 44 0.003650 957 2955
15 706 1925 31 0.002975 41 1016
